0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2024年1月13日（土曜） 1回小倉1日,9,7,11,セントカメリア,牝5,54.0,西村 淳也,1:58.8,１,121296,36.2,454(+2),高野 友和,3
2024年1月13日（土曜） 1回小倉1日,10,6,10,エリカヴィータ,牝5,55.0,佐々木 大輔,1:58.8,クビ,761112,36.1,460(-2),国枝 栄,10
2024年1月13日（土曜） 1回小倉1日,11,6,9,エニシノウタ,牝6,51.0,永島 まなみ,1:58.9,クビ,13131312,36.0,450(-10),笹田 和秀,14
2024年1月13日（土曜） 1回小倉1日,12,4,6,ミスフィガロ,牝6,52.0,藤岡 康太,1:58.9,ハナ,11101111,36.1,424(-14),友道 康夫,11
2024年1月13日（土曜） 1回小倉1日,13,3,4,ウインピクシス,牝5,55.0,松岡 正海,2:00.2,８,2223,38.0,458(+2),上原 博之,4
2024年1月13日（土曜） 1回小倉1日,14,1,1,グランスラムアスク,牝5,53.0,丸山 元気,2:01.1,５,1116,39.0,468(+8),矢作 芳人,12
2024年1月14日（日曜） 1回中山5日,1,8,14,ダノンデサイル,牡3,57.0,横山 典弘,2:00.5,,4555,34.1,506(+4),安田 翔伍,5
2024年1月14日（日曜） 1回中山5日,2,4,6,アーバンシック,牡3,57.0,横山 武史,2:00.6,３／４,1211810,33.9,516(+4),武井 亮,2
2024年1月14日（日曜） 1回中山5日,3,6,10,コスモブッドレア,牡3,57.0,石川 裕紀人,2:00.6,クビ,2222,34.8,482(+6),小野 次郎,10
2024年1月14日（日曜） 1回中山5日,4,5,8,ハヤテノフクノスケ,牡3,57.0,岩田 望来,2:00.7,１／２,3333,34.7,520(+14),中村 直也,4
2024年1月14日（日曜） 1回中山5日,5,1,1,ニシノフィアンス,牡3,57.0,三浦 皇成,2:00.8,１／２,4444,34.7,498(0),竹内 正洋,12
2024年1月14日（日曜） 1回中山5日,6,5,9,アスクナイスショー,牡3,57.0,大野 拓弥,2:00.9,３／４,1111,35.2,478(+2),中舘 英二,11
2024年1月14日（日曜） 1回中山5日,7,2,2,バードウォッチャー,牡3,57.0,C.ルメール,2:01.0,クビ,9856,34.5,486(+10),国枝 栄,3
2024年1月14日（日曜） 1回中山5日,8,3,4,エコロマーズ,牡3,57.0,内田 博幸,2:01.0,クビ,8987,34.2,500(+20),牧浦 充徳,13
2024年1月14日（日曜） 1回中山5日,9,7,13,ドゥレイクパセージ,牡3,57.0,R.キング,2:01.0,ハナ,6687,34.3,458(+12),堀 宣行,8
2024年1月14日（日曜） 1回中山5日,10,6,11,マイネルフランツ,牡3,57.0,津村 明秀,2:01.7,４,991111,34.8,468(0),和田 正一郎,7
2024年1月14日（日曜） 1回中山5日,11,2,3,レイデラルース,牡3,57.0,石橋 脩,2:01.9,１ 1/4,12131313,34.8,486(-2),手塚 貴久,9
2024年1月14日（日曜） 1回中山5日,12,8,15,ジュンゴールド,牡3,57.0,坂井 瑠星,2:01.9,ハナ,6657,35.4,490(+6),友道 康夫,1
2024年1月14日（日曜） 1回中山5日,13,4,7,ロードヴェスパー,牡3,57.0,横山 和生,2:02.0,１／２,14141414,34.7,438(+2),和田 勇介,14
2024年1月14日（日曜） 1回中山5日,14,7,12,グローリーアテイン,牡3,57.0,戸崎 圭太,2:03.1,７,11111112,36.1,490(+2),金成 貴史,6
2024年1月14日（日曜） 1回中山5日,取消,3,5,ロジルーラー,牡3,57.0,松岡 正海,,,,,,稲垣 幸雄,
2024年1月14日（日曜） 1回京都5日,1,5,8,ブローザホーン,牡5,57.0,菅原 明良,2:23.7,,8886,35.8,426(+12),中野 栄治,1
2024年1月14日（日曜） 1回京都5日,2,8,13,サヴォーナ,牡4,56.0,池添 謙一,2:23.8,１,4344,36.3,534(-2),中竹 和也,4
2024年1月14日（日曜） 1回京都5日,3,8,14,サトノグランツ,牡4,57.5,川田 将雅,2:24.0,１ 1/4,5552,36.5,506(+10),友道 康夫,3
2024年1月14日（日曜） 1回京都5日,4,5,7,ハーツコンチェルト,牡4,55.0,松山 弘平,2:24.3,１ 1/2,6652,36.7,504(+6),武井 亮,2
2024年1月14日（日曜） 1回京都5日,5,6,9,カレンルシェルブル,牡6,57.0,武 豊,2:24.6,２,1010109,36.6,506(-8),安田 翔伍,11
2024年1月14日（日曜） 1回京都5日,6,4,5,レッドバリエンテ,牡5,55.0,西村 淳也,2:24.7,クビ,8887,37.0,480(+2),中内田 充正,5
2024年1月14日（日曜） 1回京都5日,7,2,2,ナイママ,牡8,53.0,和田 竜二,2:25.1,２ 1/2,6659,37.3,490(+2),武藤 善則,13
2024年1月14日（日曜） 1回京都5日,8,3,4,リビアングラス,牡4,54.0,田口 貫太,2:25.1,クビ,2227,37.5,488(0),矢作 芳人,6
2024年1月14日（日曜） 1回京都5日,9,6,10,ハーツイストワール,牡8,57.0,田辺 裕信,2:25.3,１ 1/4,14141313,37.0,486(+8),国枝 栄,10
2024年1月14日（日曜） 1回京都5日,10,7,12,シンリョクカ,牝4,53.0,木幡 初也,2:25.3,クビ,3324,37.7,464(+4),竹内 正洋,7
2024年1月14日（日曜） 1回京都5日,11,3,3,インプレス,牡5,56.0,角田 大河,2:25.4,クビ,12121212,37.2,526(-4),佐々木 晶三,12
2024年1月14日（日曜） 1回京都5日,12,7,11,ヒンドゥタイムズ,せん8,58.0,A.ルメートル,2:25.4,クビ,1010119,37.3,472(0),斉藤 崇史,9
2024年1月14日（日曜） 1回京都5日,13,1,1,リレーションシップ,牡7,54.0,高田 潤,2:26.2,５,13131314,37.7,518(+14),斉藤 崇史,14
2024年1月14日（日曜） 1回京都5日,14,4,6,ディアスティマ,牡7,57.5,北村 友一,2:27.6,９,1111,40.3,500(+12),高野 友和,8
2024年1月21日（日曜） 1回中山7日,1,8,11,チャックネイト,せん6,57.0,R.キング,2:16.6,,2333,37.6,486(+8),堀 宣行,3
2024年1月21日（日曜） 1回中山7日,2,8,12,ボッケリーニ,牡8,57.0,浜中 俊,2:16.6,ハナ,4444,37.3,470(-4),池江 泰寿,2
2024年1月21日（日曜） 1回中山7日,3,2,2,クロミナンス,牡7,57.0,C.ルメール,2:16.8,１ 1/4,4444,37.5,496(-8),尾関 知人,5
2024年1月21日（日曜） 1回中山7日,4,3,3,モリアーナ,牝4,54.0,横山 典弘,2:16.8,アタマ,1112128,36.9,482(+4),武藤 善則,4
2024年1月21日（日曜） 1回中山7日,5,1,1,マイネルウィルトス,牡8,57.0,横山 武史,2:16.9,クビ,1111,38.1,488(+2),宮 徹,1
2024年1月21日（日曜） 1回中山7日,6,6,8,シルブロン,牡6,57.0,R.ピーヒュレク,2:17.0,クビ,101086,37.3,504(0),稲垣 幸雄,12
2024年1月21日（日曜） 1回中山7日,7,5,6,サンストックトン,牡5,57.0,R.キングスコート,2:17.0,クビ,7786,37.4,478(0),鹿戸 雄一,10
2024年1月21日（日曜） 1回中山7日,8,7,10,ラーグルフ,牡5,57.0,三浦 皇成,2:17.0,アタマ,77810,37.3,500(+2),宗像 義忠,8
2024年1月21日（日曜） 1回中山7日,9,4,4,ショウナンバシット,牡4,56.0,横山 和生,2:17.1,１／２,2222,38.2,492(-2),須貝 尚介,7
2024年1月21日（日曜） 1回中山7日,10,7,9,カラテ,牡8,57.0,菅原 明良,2:18.2,７,4468,38.8,540(+2),辻野 泰之,6
2024年1月21日（日曜） 1回中山7日,11,5,5,ホウオウリアリティ,牡6,57.0,大野 拓弥,2:18.3,１／２,77810,38.6,486(+4),高木 登,11
2024年1月21日（日曜） 1回中山7日,12,6,7,アドマイヤハレー,牡6,57.0,田辺 裕信,2:18.7,２ 1/2,1110712,39.2,474(0),宮田 敬介,9
2024年1月21日（日曜） 1回京都7日,1,7,14,ウィリアムバローズ,牡6,57.0,坂井 瑠星,1:49.2,,2211,36.0,500(-4),上村 洋行,2
2024年1月21日（日曜） 1回京都7日,2,5,10,オメガギネス,牡4,56.0,戸崎 圭太,1:49.4,１,2322,36.1,494(0),大和田 成,1
2024年1月21日（日曜） 1回京都7日,3,2,3,ヴィクティファルス,せん6,57.0,池添 謙一,1:49.6,１ 1/2,4343,36.1,490(+10),池添 学,4
2024年1月21日（日曜） 1回京都7日,4,7,13,ブライアンセンス,牡4,56.0,岩田 望来,1:49.7,クビ,8875,35.9,514(-2),斎藤 誠,5
2024年1月21日（日曜） 1回京都7日,5,8,16,オーロイプラータ,牡4,56.0,A.ルメートル,1:49.7,ハナ,14141515,35.3,544(0),宮本 博,6
2024年1月21日（日曜） 1回京都7日,6,3,6,ペプチドナイル,牡6,57.0,藤岡 佑介,1:49.7,ハナ,4543,36.2,534(+4),武 英智,3
2024年1月21日（日曜） 1回京都7日,7,1,1,ミッキーヌチバナ,牡6,57.0,松山 弘平,1:49.7,アタマ,8877,36.0,524(0),高橋 亮,8
2024年1月21日（日曜） 1回京都7日,8,2,4,キリンジ,牡4,56.0,和田 竜二,1:49.9,１,881113,35.9,494(+2),佐々木 晶三,13
2024年1月21日（日曜） 1回京都7日,9,1,2,ビヨンドザファザー,牡5,57.0,内田 博幸,1:50.0,１／２,8879,36.2,518(-2),藤岡 健一,14
2024年1月21日（日曜） 1回京都7日,10,6,11,タイセイドレフォン,牡5,57.0,幸 英明,1:50.0,クビ,4577,36.2,504(0),西村 真幸,7
2024年1月21日（日曜） 1回京都7日,11,8,15,ブラックアーメット,牡6,57.0,泉谷 楓真,1:50.3,１ 1/2,1212119,36.3,506(-4),角田 晃一,15
2024年1月21日（日曜） 1回京都7日,12,5,9,レッドファーロ,牡5,57.0,岩田 康誠,1:50.6,１ 3/4,15151615,36.2,510(0),松永 幹夫,10
2024年1月21日（日曜） 1回京都7日,13,4,7,サンライズウルス,牡6,57.0,西村 淳也,1:51.0,２ 1/2,12121413,37.1,506(+20),安田 翔伍,12
2024年1月21日（日曜） 1回京都7日,14,4,8,ゲンパチルシファー,牡8,57.0,松若 風馬,1:51.4,２ 1/2,4545,37.8,522(+4),佐々木 晶三,16
2024年1月21日（日曜） 1回京都7日,15,3,5,スマッシングハーツ,牡8,57.0,武 豊,1:52.1,４,1516119,38.1,522(+12),新谷 功一,9
